subLot,lot,bloc,transactionDate,street,houseNumber,apartmentNumber,price,grossArea,netArea,rooms,ppsm,ppr,floor,floors,apartmentsInBuilding,parking,storage,roof,yard,constructionYear,,,,,,,,,,,,,,,,,,,
5,814,6628,01/12/2020,1,9,5,4636021,118,118,4,39288,1159005,1,20,66,0,0,0,0,2019,,,,,,,,,,,,,,,,,,,
0,814,6628,29/10/2020,1,5,5,4559044,118,118,4,38636,1139761,1,17,66,0,0,0,0,2019,,,,,,,,,,,,,,,,,,,
48,640,6628,15/06/2020,1,48,48,7350000,196,196,5,37500,1470000,12,13,48,4,0,63,0,1996,,,,,,,,,,,,,,,,,,,
0,14,6107,10/04/2018,2,1,0,3355000,145,145,4,23138,838750,29,42,177,0,0,0,0,2018,,,,,,,,,,,,,,,,,,,
106,14,6107,04/04/2018,2,2,0,2720360,144,144,5,18891,544072,6,42,177,0,0,0,0,2018,,,,,,,,,,,,,,,,,,,
0,299,6136,28/02/2018,3,999,0,2327000,80,80,3,29161,777617,6,18,70,0,0,0,0,2020,,,,,,,,,,,,,,,,,,,
3,4,6136,29/04/2015,3,999,,1604998,,75,3,21400,534999,1,18,70,,,,,2016,,,,,,,,,,,,,,,,,,,
0,582,6624,27/04/2015,4,10,,5000000,200,,5,25000,1000000,1,3,,,,,,2014,,,,,,,,,,,,,,,,,,,
0,582,6624,27/04/2015,4,10,0,5000000,200,0,5,25000,1000000,1,3,0,0,0,0,0,2014,,,,,,,,,,,,,,,,,,,
13,52,6885,21/04/2015,5,999,0,7055902,0,193,5,36559,1411180,4,6,18,0,0,0,0,2016,,,,,,,,,,,,,,,,,,,
0,52,6885,19/04/2015,5,11,0,3109720,0,98,4,31732,777430,2,6,0,0,0,0,0,2015,,,,,,,,,,,,,,,,,,,
38,97,6136,02/04/2015,6,1,,2050000,,129,5,15891,410000,10,11,,,,,,2015,,,,,,,,,,,,,,,,,,,
11,52,6885,02/04/2015,7,999,0,3204720,0,101,4,31730,801180,3,6,18,0,0,0,0,2016,,,,,,,,,,,,,,,,,,,
5,52,6885,25/03/2015,7,1,0,3118720,0,98,4,31824,779680,2,6,0,0,0,0,0,2015,,,,,,,,,,,,,,,,,,,
3,52,6885,24/03/2015,7,1,0,2936600,0,98,4,29965,734150,1,6,0,0,0,0,0,2015,,,,,,,,,,,,,,,,,,,
7,52,6885,18/03/2015,7,1,0,3034720,0,98,4,30967,758680,2,6,0,0,0,0,0,2015,,,,,,,,,,,,,,,,,,,
1,855,6624,18/03/2015,8,1,,4099998,192,,5,21354,820000,1,3,,,,,,2003,,,,,,,,,,,,,,,,,,,
21,1349,6212,16/06/2008,9,31,0,1045000,0,71,3,14718,348333,3,0,0,0,0,0,0,1957,,,,,,,,,,,,,,,,,,,
10,46,7018,25/03/2005,10,1,,625000,,70,2,8929,312500,3,6,20,,,,,2005,,,,,,,,,,,,,,,,,,,
5,46,7018,25/03/2005,10,1,,725000,,70,2,10357,362500,2,6,60,,,,,2004,,,,,,,,,,,,,,,,,,,
8,46,7018,01/03/2005,10,1,,755000,,65,2,11615,377500,3,6,60,,,,,2004,,,,,,,,,,,,,,,,,,,
16,46,7018,28/02/2005,10,1,,732000,,65,2,11262,366000,5,6,18,,,,,2005,,,,,,,,,,,,,,,,,,,
6,46,7018,27/02/2005,10,1,,720000,,65,2,11077,360000,2,6,18,,,,,2005,,,,,,,,,,,,,,,,,,,
0,46,7018,17/02/2005,10,1,,699996,,70,2,10000,349998,5,,,,,,,2004,,,,,,,,,,,,,,,,,,,
12,46,7018,10/02/2005,10,1,,780000,,70,2,11143,390000,3,6,20,,,,,2004,,,,,,,,,,,,,,,,,,,
15,46,7018,06/02/2005,10,1,,785000,,70,2,11214,392500,5,6,18,,,,,2005,,,,,,,,,,,,,,,,,,,
6,46,7018,06/02/2005,10,1,,725000,,70,2,10357,362500,2,6,20,,,,,2004,,,,,,,,,,,,,,,,,,,
12,46,7018,06/02/2005,10,1,,720000,,70,2,10286,360000,4,6,18,,,,,2005,,,,,,,,,,,,,,,,,,,
4,46,7018,13/01/2005,10,1,,847000,,85,3,9965,282333,2,6,38,,,,,2005,,,,,,,,,,,,,,,,,,,
7,46,7018,13/01/2005,10,1,,713000,,70,2,10186,356500,2,6,60,,,,,2004,,,,,,,,,,,,,,,,,,,
11,46,7018,12/01/2005,10,1,,688000,,70,2,9829,344000,4,6,38,,,,,2005,,,,,,,,,,,,,,,,,,,
7,46,7018,03/01/2005,10,1,,716000,,70,2,10229,358000,3,6,60,,,,,2004,,,,,,,,,,,,,,,,,,,
18,20,7018,19/09/2004,10,1,,660000,,70,2,9429,330000,5,6,60,,,,,2004,,,,,,,,,,,,,,,,,,,
8,20,7018,29/07/2004,10,1,,585000,,72,2,8125,292500,3,6,60,,,,,2004,,,,,,,,,,,,,,,,,,,
0,46,7018,25/07/2004,10,1,,700000,,70,2,10000,350000,3,6,60,,,,,2004,,,,,,,,,,,,,,,,,,,
9,20,7018,13/07/2004,10,1,,595000,,70,2,8500,297500,3,6,60,,,,,2004,,,,,,,,,,,,,,,,,,,
6,20,7018,06/07/2004,10,1,,680000,,70,2,9714,340000,5,6,60,,,,,2004,,,,,,,,,,,,,,,,,,,
27,33,7072,20/01/2003,11,1,,291300,,46,2,6333,145650,4,4,20,,,,,1960,,,,,,,,,,,,,,,,,,,
0,814,6628,12/12/2019,12,7,55,179352,123,123,5,1458,35870.4,12,20,66,0,0,0,0,2019,,,,,,,,,,,,,,,,,,,
8,723,6108,20/11/2019,13,1,0,1599999,100,0,4,16000,399999.75,3,24,31,0,0,0,0,2008,,,,,,,,,,,,,,,,,,,
0,814,6628,09/09/2019,14,9,46,692955,123,123,5,5634,138591,10,20,66,0,0,0,0,2019,,,,,,,,,,,,,,,,,,,
0,4,6136,12/11/2017,15,20,0,2045000,86,0,4,23779,511250,15,16,64,0,0,0,0,2006,,,,,,,,,,,,,,,,,,,
47,4,6136,18/12/2016,15,1,0,1968173,0,79,3,24914,656057.67,12,18,70,1,0,0,0,2016,,,,,,,,,,,,,,,,,,,
65,4,6947,17/12/2016,16,999,0,3216850,0,94,4,34222,804212.5,4,8,44,0,0,0,0,2017,,,,,,,,,,,,,,,,,,,
9,7,6912,24/11/2016,17,999,0,3450000,0,68,2,50735,1725000,1,7,91,0,0,0,0,2015,,,,,,,,,,,,,,,,,,,
1,4,9020,16/11/2016,18,1,,3505513,,94,4,37293,876378.25,7,8,,,,,,2016,,,,,,,,,,,,,,,,,,,
1,4,9020,16/11/2016,18,1,0,3505513,0,94,4,37293,876378.25,7,8,0,0,0,0,0,2016,,,,,,,,,,,,,,,,,,,
1,15,8997,17/11/2014,19,1,0,572598,70,0,3,8180,190866,1,2,4,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
0,606,6624,13/11/2014,20,4,,4549999,203,,5,22414,909999.8,1,3,,,,,,2006,,,,,,,,,,,,,,,,,,,
3,628,6624,26/10/2014,30,1,,4300000,99,,4,43434,1075000,4,4,10,,,,,1980,,,,,,,,,,,,,,,,,,,
5,5,6111,13/12/2012,21,6,,1520000,50,50,2,30400,760000,1,4,8,,,,,1953,,,,,,,,,,,,,,,,,,,
0,34,7082,06/12/2017,22,11,0,2360000,67,67,3,35224,786666.67,3,3,10,0,0,0,0,1930,,,,,,,,,,,,,,,,,,,
